time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.87903,0.822638,0.222624,0.206907,2.99798,0.751677,0.22376,0.207996,2.99794,0.751755,0.222509,0.207045,2.99796,0.751574,0.0117213,0.118956,0.0709614,0.0123418,0.118912,0.0708836,0.0115567,0.118931,0.0710642
0.1,0.407989,0.423148,2.84128,0.835634,0.451569,0.40176,3.01601,0.731713,0.453862,0.403835,3.01604,0.731753,0.451366,0.402001,3.01606,0.73171,0.0485453,0.174733,0.103921,0.0497727,0.174756,0.103881,0.048257,0.174781,0.103924
0.2,0.598556,0.633892,2.85185,0.842578,0.661295,0.61258,3.02274,0.756981,0.664639,0.615711,3.02282,0.757026,0.661219,0.612682,3.0228,0.756994,0.0662601,0.170887,0.0855976,0.0685382,0.170966,0.0855523,0.0661555,0.170948,0.0855841
0.3,0.788358,0.846743,3.00219,0.829731,0.897879,0.828195,3.03149,0.75675,0.902391,0.832455,3.03182,0.756841,0.897814,0.828387,3.03156,0.75675,0.11108,0.0293024,0.0729804,0.114925,0.0296313,0.0728895,0.110984,0.0293731,0.0729806
0.4,0.991029,1.06823,3.07978,0.815428,1.10871,1.01675,3.01775,0.755776,1.11429,1.02199,3.01818,0.755879,1.1086,1.01697,3.0178,0.755774,0.128451,0.0620327,0.059652,0.131651,0.0615982,0.0595492,0.128263,0.0619753,0.0596543
0.5,1.20216,1.29244,2.9076,0.810942,1.34115,1.19475,3.00213,0.741221,1.34791,1.20099,3.00287,0.741357,1.34094,1.19511,3.00219,0.741203,0.169881,0.0945228,0.0697211,0.172063,0.095263,0.0695854,0.169508,0.0945912,0.0697395
0.6,1.40245,1.50323,3.08427,0.785886,1.51691,1.36332,2.92712,0.749414,1.52458,1.37045,2.92784,0.749571,1.51697,1.36372,2.92736,0.749363,0.180767,0.157151,0.0364729,0.180405,0.156424,0.0363153,0.180496,0.156906,0.0365239
0.7,1.62043,1.72142,3.17549,0.802302,1.73733,1.48398,2.87151,0.722109,1.7461,1.49177,2.87234,0.722269,1.7374,1.4847,2.87196,0.722043,0.264661,0.303976,0.0801931,0.261794,0.303146,0.0800326,0.264049,0.303526,0.0802585
0.8,1.84114,1.94973,3.31074,0.83235,1.99345,1.59982,2.85784,0.687636,2.00341,1.60817,2.85883,0.687795,1.99332,1.60081,2.85833,0.687568,0.381615,0.452904,0.144714,0.378143,0.451914,0.144556,0.380657,0.452416,0.144783
0.9,2.064,2.19456,3.50721,0.858185,2.25394,1.85827,2.97704,0.707441,2.26484,1.86749,2.97823,0.707587,2.25321,1.85896,2.9768,0.707456,0.386228,0.530172,0.150744,0.383807,0.528979,0.150597,0.385263,0.530408,0.150728
1,2.29331,2.45994,3.46468,0.857703,2.41836,1.99638,2.87202,0.711906,2.42959,2.00578,2.87214,0.71205,2.41827,1.99731,2.87244,0.711874,0.480127,0.592664,0.145798,0.474166,0.592546,0.145653,0.479207,0.592241,0.145829
1.1,2.51996,2.72199,3.50548,0.862815,2.74909,2.21789,2.99529,0.697609,2.7607,2.22749,2.99473,0.697808,2.74801,2.21846,2.99464,0.697591,0.553727,0.510188,0.165207,0.549987,0.510754,0.165008,0.552758,0.510846,0.165224
1.2,2.74792,2.98829,3.4827,0.921733,3.0028,2.37949,2.99686,0.687923,3.01437,2.3888,2.99467,0.688127,3.00174,2.38024,2.99653,0.687903,0.659997,0.485839,0.23381,0.656036,0.488028,0.233606,0.658894,0.486165,0.23383
1.3,2.95843,3.26574,3.44652,0.959903,3.22458,2.60221,3.01088,0.704143,3.23585,2.61137,3.00716,0.704356,3.22353,2.60287,3.01049,0.704122,0.714919,0.435642,0.25576,0.710745,0.439368,0.255547,0.713913,0.436037,0.255781
1.4,3.15612,3.54806,3.51384,0.939725,3.4839,2.77253,3.02218,0.695999,3.495,2.78122,3.01692,0.696201,3.48281,2.77331,3.02192,0.695976,0.841952,0.491661,0.243726,0.838376,0.496913,0.243524,0.840804,0.491912,0.243749
1.5,3.36344,3.83176,3.65436,0.949915,3.6924,3.09014,3.10669,0.737062,3.70304,3.09885,3.10047,0.73726,3.69105,3.09043,3.10509,0.737047,0.8113,0.547662,0.212852,0.807761,0.553889,0.212654,0.810496,0.549261,0.212868
1.6,3.57603,4.12899,3.62515,0.966786,3.93949,3.36925,3.21083,0.753364,3.94979,3.37774,3.20361,0.753549,3.93805,3.36911,3.20834,0.753324,0.842207,0.414318,0.213422,0.839097,0.421539,0.213237,0.84171,0.416816,0.213462
