time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
0,0.212132,0.212132,2.75402,0.841308,0.2069,0.209319,3.00636,0.789371,0.207747,0.210538,3.00576,0.790345,0.206886,0.209311,3.00638,0.789376,0.00594017,0.252343,0.0519367,0.00466559,0.251739,0.0509624,0.00595622,0.252365,0.0519318
0.1,0.395684,0.417448,2.94276,0.84783,0.419492,0.433775,2.99848,0.809555,0.420742,0.436783,2.99659,0.811892,0.419516,0.433912,2.99813,0.809746,0.0288681,0.0557159,0.038275,0.03165,0.0538348,0.0359387,0.028966,0.0553661,0.0380844
0.2,0.590381,0.63811,3.22268,0.899369,0.609506,0.656176,2.9808,0.834079,0.610359,0.661344,2.97711,0.837939,0.609295,0.656362,2.9798,0.834588,0.0263085,0.241875,0.0652898,0.0306422,0.24557,0.0614292,0.0262847,0.242876,0.0647802
0.3,0.790865,0.890425,3.25224,0.851541,0.828946,0.878314,3.05677,0.817195,0.829936,0.885581,3.05317,0.821348,0.828993,0.878521,3.05753,0.817016,0.0399604,0.195476,0.0343454,0.0393697,0.199069,0.0301924,0.0399434,0.194713,0.0345245
0.4,1.00513,1.13509,3.42346,0.815115,1.01408,1.10099,2.99773,0.841827,1.01369,1.11066,2.99092,0.847572,1.01397,1.10125,2.99722,0.842093,0.0352581,0.425734,0.0267123,0.025887,0.432542,0.0324569,0.0349803,0.426247,0.0269781
0.5,1.23991,1.38425,3.22482,0.798645,1.17128,1.32037,2.93641,0.867261,1.16847,1.33219,2.92609,0.874517,1.17062,1.32051,2.93455,0.867904,0.0937576,0.288405,0.0686156,0.0883983,0.298728,0.0758712,0.094143,0.290269,0.0692581
0.6,1.4649,1.61528,3.33228,0.747317,1.46545,1.46713,3.03936,0.781959,1.46438,1.47839,3.02912,0.786934,1.46594,1.46518,3.03976,0.780021,0.14815,0.292928,0.0346424,0.136892,0.303161,0.0396174,0.150103,0.292522,0.0327038
0.7,1.70932,1.84177,3.43888,0.763719,1.65583,1.70828,3.06148,0.803475,1.65293,1.72204,3.04967,0.809712,1.6567,1.70647,3.06248,0.801786,0.143804,0.377392,0.0397561,0.132345,0.389207,0.0459934,0.145172,0.376397,0.0380676
0.8,1.9577,2.0796,3.19943,0.785951,1.80276,2.02689,3.11236,0.861928,1.79736,2.04566,3.10149,0.870195,1.80438,2.0266,3.11569,0.860943,0.163664,0.0870711,0.0759772,0.163897,0.0979429,0.0842436,0.162227,0.0837411,0.0749917
0.9,2.18381,2.30596,3.18173,0.754881,2.02971,2.27461,3.16198,0.860118,2.02278,2.29616,3.14982,0.869054,2.03171,2.27448,3.16584,0.859122,0.157258,0.0197531,0.105237,0.161329,0.0319088,0.114173,0.155324,0.0158923,0.104241
1,2.41555,2.52398,2.98892,0.792575,2.24327,2.56127,3.19741,0.880233,2.23425,2.58697,3.18398,0.890584,2.24538,2.56203,3.20151,0.879829,0.17627,0.208487,0.0876572,0.191935,0.19506,0.0980088,0.174378,0.212587,0.0872539
1.1,2.62538,2.73684,2.78046,0.835617,2.43492,2.87123,3.21065,0.913697,2.42301,2.9018,3.19562,0.925923,2.4365,2.87344,3.21438,0.914331,0.233105,0.430195,0.0780797,0.261086,0.415162,0.0903058,0.233099,0.43392,0.0787145
1.2,2.81187,2.94307,2.66081,0.848406,2.7045,3.03844,3.2246,0.870445,2.69126,3.06683,3.20558,0.881244,2.70761,3.03889,3.22837,0.869583,0.143616,0.563785,0.0220389,0.172814,0.544764,0.0328379,0.141603,0.567562,0.0211765
1.3,2.9878,3.14269,2.63295,0.827863,3.18238,3.30394,3.60927,0.768882,3.16968,3.33611,3.59593,0.777157,3.18702,3.30258,3.6194,0.765931,0.252712,0.976319,0.0589816,0.265508,0.962975,0.0507067,0.255452,0.986445,0.0619324
1.4,3.1659,3.3366,2.47983,0.781474,3.3812,3.54422,3.53298,0.792308,3.36614,3.57626,3.51463,0.801411,3.38759,3.54312,3.54225,0.789477,0.299096,1.05315,0.0108339,0.312297,1.0348,0.0199365,0.302976,1.06241,0.00800283
1.5,3.34194,3.51126,2.76955,0.817035,3.6525,3.62011,3.39756,0.763659,3.6326,3.64705,3.36891,0.773134,3.65889,3.61885,3.4029,0.761108,0.329079,0.628014,0.0533765,0.320818,0.599363,0.0439013,0.334708,0.633353,0.0559277
1.6,3.53149,3.71319,2.95952,0.88433,3.77566,3.81059,3.27764,0.789432,3.75193,3.834,3.24361,0.799391,3.78336,3.80969,3.28187,0.786894,0.262885,0.318117,0.0948981,0.251371,0.284087,0.0849386,0.269726,0.322344,0.0974358
1.7,3.71906,3.94211,3.21212,0.829074,4.03879,4.24402,3.39129,0.831919,4.01559,4.27643,3.36117,0.843352,4.04774,4.24375,3.3981,0.829938,0.439745,0.179168,0.00284489,0.44688,0.149055,0.014278,0.446106,0.18598,0.000864187
1.8,3.93606,4.17894,3.11203,0.820368,4.14517,4.32334,3.18155,0.840124,4.11633,4.34808,3.14203,0.852007,4.15414,4.32362,3.18411,0.838456,0.254124,0.0695187,0.0197568,0.247199,0.0299991,0.0316394,0.261705,0.072086,0.0180879
1.9,4.14829,4.40656,2.93293,0.778736,4.36413,4.72097,3.25533,0.877398,4.33459,4.7524,3.21844,0.890553,4.3734,4.72217,3.25942,0.876422,0.381378,0.322396,0.0986626,0.392833,0.285506,0.111818,0.387668,0.326488,0.0976867
2,4.35705,4.61256,2.78937,0.847953,4.58425,5.13381,3.32822,0.914303,4.55326,5.17103,3.29273,0.928701,4.5931,5.13571,3.33295,0.914182,0.568613,0.538857,0.0663506,0.591933,0.503367,0.0807484,0.573941,0.543584,0.0662294
2.1,4.54157,4.82174,2.49725,0.845108,4.64446,5.17942,3.10167,0.92152,4.60717,5.20785,3.0572,0.936424,4.6516,5.18221,3.10103,0.922014,0.372181,0.604419,0.0764126,0.391642,0.559947,0.0913162,0.376886,0.603776,0.0769067
2.2,4.70731,5.00855,2.61929,0.811999,4.64753,5.32901,2.94024,0.951965,4.60455,5.35066,2.89052,0.967588,4.65208,5.33164,2.93556,0.953099,0.325993,0.320957,0.139966,0.35721,0.271237,0.155589,0.327783,0.316276,0.1411
2.3,4.88752,5.19862,2.60616,0.799023,4.69216,5.83209,3.05331,1.01348,4.64756,5.86336,3.0136,1.03047,4.69493,5.83853,3.05406,1.01568,0.662917,0.447154,0.214453,0.706726,0.407446,0.231449,0.668269,0.447897,0.216654
2.4,5.06928,5.38539,2.87328,0.816536,4.90667,5.92806,2.93352,1.00217,4.85824,5.95335,2.88576,1.01925,4.90745,5.93372,2.92863,1.005,0.566507,0.0602412,0.185636,0.605894,0.012482,0.202716,0.571711,0.0553506,0.188465
2.5,5.26603,5.59479,2.84615,0.80971,5.08381,6.30865,2.98224,1.03349,5.03486,6.33733,2.93652,1.05135,5.0835,6.31586,2.97789,1.03741,0.736742,0.136085,0.223785,0.77769,0.0903734,0.241635,0.743808,0.131743,0.2277
2.6,5.46233,5.80088,2.56007,0.819218,5.32419,6.41875,2.89312,1.01683,5.27236,6.44134,2.84025,1.03409,5.32261,6.42417,2.88409,1.02073,0.633129,0.333049,0.197612,0.668044,0.280185,0.214873,0.638763,0.324021,0.201507
2.7,5.63713,5.98792,2.73358,0.875397,5.48947,6.47715,2.75843,1.00671,5.43471,6.49112,2.69784,1.02345,5.48624,6.47951,2.74383,1.01049,0.511031,0.0248474,0.131313,0.542384,0.0357422,0.148053,0.514226,0.0102453,0.135093
2.8,5.81227,6.1978,2.56374,0.843412,5.82442,6.8115,2.96139,0.967612,5.76997,6.82987,2.91003,0.981301,5.82373,6.81548,2.9559,0.96892,0.613815,0.39765,0.1242,0.63348,0.346293,0.137889,0.617784,0.392164,0.125508
2.9,5.98273,6.38929,2.49501,0.831973,5.97207,7.05719,2.99282,0.96607,5.91565,7.07444,2.94373,0.979018,5.97124,7.0609,2.98928,0.966747,0.667979,0.497815,0.134096,0.688424,0.448718,0.147045,0.671703,0.494275,0.134773
3,6.15075,6.57374,2.51264,0.799164,6.20965,7.30788,3.02961,0.957446,6.15078,7.32453,2.98024,0.969965,6.20798,7.31148,3.02632,0.957944,0.736502,0.516976,0.158282,0.750786,0.467601,0.170801,0.739953,0.513687,0.15878
3.1,6.32596,6.75384,2.45528,0.740085,6.3675,7.66531,3.12022,0.969514,6.30817,7.68291,3.07532,0.981647,6.36658,7.66897,3.12003,0.969655,0.912412,0.664936,0.229428,0.929243,0.620041,0.241562,0.916032,0.664748,0.229569
3.2,6.50726,6.91941,2.5339,0.756729,6.64726,7.90331,3.10409,0.967407,6.58428,7.91983,3.05498,0.979951,6.64403,7.90696,3.10094,0.968213,0.993809,0.570192,0.210678,1.00338,0.521075,0.223222,0.996969,0.567042,0.211484
