time,x_true,y_true,yaw_true,hmkf_x,hmkf_y,hmkf_yaw,mkf_x,mkf_y,mkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,hmkf_xy_error,hmkf_yaw_error,mkf_xy_error,mkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.44332,5.44332,0.775691,3.45893,5.47648,0.76866,3.45895,5.4765,0.76867,3.45622,5.47872,0.756834,3.45741,5.47613,0.765854,0.0366433,0.00703141,0.0366703,0.0070215,0.0376747,0.0188573,0.0357034,0.0098377
1,3.96724,5.95716,0.672306,3.90812,5.89914,0.680197,3.90816,5.89919,0.680198,3.9107,5.89848,0.668121,3.90864,5.89725,0.680918,0.0828369,0.00789052,0.0827755,0.00789182,0.0814927,0.0041851,0.0838066,0.00861191
1.5,4.41729,6.31541,0.716025,4.39149,6.29971,0.724359,4.39153,6.29976,0.724359,4.40098,6.29411,0.715852,4.39115,6.29881,0.72549,0.0302049,0.00833428,0.0301497,0.00833389,0.0268384,0.000172453,0.0309668,0.00946473
2,4.80206,6.65018,0.754208,4.84729,6.70763,0.753123,4.84732,6.70767,0.75312,4.86237,6.69885,0.74371,4.84648,6.70756,0.754113,0.0731136,0.00108557,0.0731658,0.00108828,0.0774956,0.010498,0.0725628,9.55101e-05
2.5,5.32363,7.14019,0.719367,5.29273,7.11226,0.720813,5.29277,7.1123,0.72081,5.31253,7.10133,0.706179,5.29205,7.11296,0.723967,0.0416571,0.00144596,0.0415925,0.00144301,0.0404171,0.0131879,0.0416977,0.00460026
3,5.71233,7.48067,0.673376,5.78993,7.54854,0.712404,5.78997,7.5486,0.712409,5.817,7.53253,0.698215,5.78839,7.54907,0.711463,0.103096,0.0390286,0.103161,0.0390336,0.116818,0.0248392,0.102291,0.0380872
3.5,6.2241,7.88895,0.650809,6.24627,7.93458,0.699189,6.24631,7.93463,0.699187,6.27989,7.91433,0.684162,6.24554,7.93494,0.70088,0.0507353,0.0483794,0.0507991,0.0483782,0.0612925,0.0333531,0.0507466,0.0500709
4,6.72563,8.27085,0.68337,6.7409,8.33976,0.665222,6.74094,8.33982,0.665225,6.78081,8.31519,0.649069,6.74054,8.33933,0.665881,0.07058,0.0181482,0.0706439,0.0181456,0.0707813,0.0343013,0.0700835,0.0174894
4.5,7.22069,8.67395,0.638329,7.21406,8.70096,0.647717,7.2141,8.70101,0.647715,7.26064,8.67144,0.63226,7.21432,8.70054,0.649511,0.0278106,0.00938772,0.0278441,0.00938595,0.0400287,0.00606833,0.0273438,0.0111818
